STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",2018-06-03,13.2,0,0,58
USW00014739,"BOSTON, MA US",2018-06-04,14.54,0.62,0,52
USW00014739,"BOSTON, MA US",2018-06-05,7.38,0.34,0,53
USW00014739,"BOSTON, MA US",2018-06-06,9.4,0,0,56
USW00014739,"BOSTON, MA US",2018-06-07,11.41,0,0,61
USW00014739,"BOSTON, MA US",2018-06-08,6.71,0,0,65
USW00014739,"BOSTON, MA US",2018-06-09,7.83,0,0,72
USW00014739,"BOSTON, MA US",2018-06-10,10.07,0,0,68
USW00014739,"BOSTON, MA US",2018-06-11,10.51,0,0,62
USW00014739,"BOSTON, MA US",2018-06-12,17.9,0,0,65
USW00014739,"BOSTON, MA US",2018-06-13,15.88,0,0,67
USW00014739,"BOSTON, MA US",2018-06-14,14.76,0,0,73
USW00014739,"BOSTON, MA US",2018-06-15,8.05,0,0,59
USW00014739,"BOSTON, MA US",2018-06-16,7.61,0,0,70
USW00014739,"BOSTON, MA US",2018-06-17,7.61,0,0,69
USW00014739,"BOSTON, MA US",2018-06-18,16.33,0.13,0,75
USW00014739,"BOSTON, MA US",2018-06-19,12.75,0.01,0,77
USW00014739,"BOSTON, MA US",2018-06-20,8.05,0,0,73
USW00014739,"BOSTON, MA US",2018-06-21,7.61,0,0,73
USW00014739,"BOSTON, MA US",2018-06-22,10.29,0,0,66
USW00014739,"BOSTON, MA US",2018-06-23,9.4,0,0,63
USW00014739,"BOSTON, MA US",2018-06-24,5.82,0.26,0,65
USW00014739,"BOSTON, MA US",2018-06-25,9.17,0.33,0,68
USW00014739,"BOSTON, MA US",2018-06-26,12.3,0,0,67
USW00014739,"BOSTON, MA US",2018-06-27,12.75,0.09,0,71
USW00014739,"BOSTON, MA US",2018-06-28,8.28,1.16,0,71
USW00014739,"BOSTON, MA US",2018-06-29,7.83,0,0,78
USW00014739,"BOSTON, MA US",2018-06-30,7.61,0,0,81
USW00014739,"BOSTON, MA US",2018-07-01,8.05,0,0,82
USW00014739,"BOSTON, MA US",2018-07-02,8.5,0,0,73
USW00014739,"BOSTON, MA US",2018-07-03,9.4,0.01,0,84
USW00014739,"BOSTON, MA US",2018-07-04,6.26,0,0,84
USW00014739,"BOSTON, MA US",2018-07-05,11.63,0,0,84
USW00014739,"BOSTON, MA US",2018-07-06,16.55,0.35,0,81
USW00014739,"BOSTON, MA US",2018-07-07,9.84,0,0,70
USW00014739,"BOSTON, MA US",2018-07-08,9.17,0,0,71
USW00014739,"BOSTON, MA US",2018-07-09,11.41,0,0,77
USW00014739,"BOSTON, MA US",2018-07-10,9.62,0,0,81
USW00014739,"BOSTON, MA US",2018-07-11,10.96,0.19,0,74
USW00014739,"BOSTON, MA US",2018-07-12,9.4,0,0,70
USW00014739,"BOSTON, MA US",2018-07-13,11.63,0,0,70
USW00014739,"BOSTON, MA US",2018-07-14,8.72,0.31,0,69
USW00014739,"BOSTON, MA US",2018-07-15,6.49,0.01,0,72
USW00014739,"BOSTON, MA US",2018-07-16,6.71,0,0,70
