STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",8/28/18,10.96,0,0,85
USW00014739,"BOSTON, MA US",8/29/18,11.41,0,0,89
USW00014739,"BOSTON, MA US",8/30/18,11.18,0,0,83
USW00014739,"BOSTON, MA US",8/31/18,10.96,0,0,71
USW00014739,"BOSTON, MA US",9/1/18,7.38,0,0,68
USW00014739,"BOSTON, MA US",9/2/18,8.95,0,0,72
USW00014739,"BOSTON, MA US",9/3/18,10.51,0,0,81
USW00014739,"BOSTON, MA US",9/4/18,9.62,0,0,83
USW00014739,"BOSTON, MA US",9/5/18,9.84,0,0,79
USW00014739,"BOSTON, MA US",9/6/18,10.07,0.03,0,81
USW00014739,"BOSTON, MA US",9/7/18,8.5,0,0,71
USW00014739,"BOSTON, MA US",9/8/18,9.62,0,0,67
USW00014739,"BOSTON, MA US",9/9/18,13.65,0,0,61
USW00014739,"BOSTON, MA US",9/10/18,17.9,0.76,0,64
USW00014739,"BOSTON, MA US",9/11/18,6.04,0.53,0,67
USW00014739,"BOSTON, MA US",9/12/18,7.61,0.26,0,69
USW00014739,"BOSTON, MA US",9/13/18,4.92,0.44,0,68
USW00014739,"BOSTON, MA US",9/14/18,5.37,0,0,69
USW00014739,"BOSTON, MA US",9/15/18,5.14,0,0,67
USW00014739,"BOSTON, MA US",9/16/18,6.93,0,0,71
USW00014739,"BOSTON, MA US",9/17/18,10.51,0,0,74
USW00014739,"BOSTON, MA US",9/18/18,5.82,1.15,0,73
USW00014739,"BOSTON, MA US",9/19/18,11.63,0,0,66
USW00014739,"BOSTON, MA US",9/20/18,11.18,0,0,63
USW00014739,"BOSTON, MA US",9/21/18,12.3,0,0,65
USW00014739,"BOSTON, MA US",9/22/18,12.75,0.03,0,69
USW00014739,"BOSTON, MA US",9/23/18,5.82,0,0,59
USW00014739,"BOSTON, MA US",9/24/18,15.43,0,0,57
USW00014739,"BOSTON, MA US",9/25/18,14.99,1.24,0,60
USW00014739,"BOSTON, MA US",9/26/18,12.75,0.28,0,74
USW00014739,"BOSTON, MA US",9/27/18,10.74,0.05,0,68
USW00014739,"BOSTON, MA US",9/28/18,8.95,0.35,0,60
USW00014739,"BOSTON, MA US",9/29/18,7.61,0,0,63
USW00014739,"BOSTON, MA US",9/30/18,7.16,0,0,62
USW00014739,"BOSTON, MA US",10/1/18,8.95,0.06,0,62
USW00014739,"BOSTON, MA US",10/2/18,7.83,0.29,0,58
USW00014739,"BOSTON, MA US",10/3/18,5.37,0.21,0,59
USW00014739,"BOSTON, MA US",10/4/18,10.96,0,0,65
USW00014739,"BOSTON, MA US",10/5/18,10.74,0,0,62
USW00014739,"BOSTON, MA US",10/6/18,7.61,0,0,56
USW00014739,"BOSTON, MA US",10/7/18,10.51,0.1,0,67
USW00014739,"BOSTON, MA US",10/8/18,9.4,0,0,58
USW00014739,"BOSTON, MA US",10/9/18,12.3,0,0,67
USW00014739,"BOSTON, MA US",10/10/18,12.3,0,0,75
USW00014739,"BOSTON, MA US",10/11/18,7.83,0.6,0,65
USW00014739,"BOSTON, MA US",10/12/18,11.18,0.09,0,59
USW00014739,"BOSTON, MA US",10/13/18,9.4,0.13,0,52
USW00014739,"BOSTON, MA US",10/14/18,10.07,0,0,51
USW00014739,"BOSTON, MA US",10/15/18,12.3,0.07,0,54
USW00014739,"BOSTON, MA US",10/16/18,14.09,0.03,0,57
USW00014739,"BOSTON, MA US",10/17/18,14.09,0,0,52
USW00014739,"BOSTON, MA US",10/18/18,15.43,0,0,45
USW00014739,"BOSTON, MA US",10/19/18,13.87,0,0,48
USW00014739,"BOSTON, MA US",10/20/18,13.2,0,0,59
USW00014739,"BOSTON, MA US",10/21/18,14.76,0.03,0,49
USW00014739,"BOSTON, MA US",10/22/18,8.95,0,0,43
USW00014739,"BOSTON, MA US",10/23/18,8.5,0.41,0,49
USW00014739,"BOSTON, MA US",10/24/18,11.18,0.04,0,46
USW00014739,"BOSTON, MA US",10/25/18,13.42,0,0,44
USW00014739,"BOSTON, MA US",10/26/18,8.28,0,0,40
USW00014739,"BOSTON, MA US",10/27/18,24.61,1.17,0,47
USW00014739,"BOSTON, MA US",10/28/18,8.72,0.03,0,49
USW00014739,"BOSTON, MA US",10/29/18,9.62,0.52,0,52
USW00014739,"BOSTON, MA US",10/30/18,12.53,0,0,47
USW00014739,"BOSTON, MA US",10/31/18,9.4,0,0,45
USW00014739,"BOSTON, MA US",11/1/18,6.71,0.01,0,58
USW00014739,"BOSTON, MA US",11/2/18,12.75,0.36,0,61
USW00014739,"BOSTON, MA US",11/3/18,18.12,1.39,0,60
USW00014739,"BOSTON, MA US",11/4/18,9.84,0,0,49
USW00014739,"BOSTON, MA US",11/5/18,13.65,0.36,0,49
USW00014739,"BOSTON, MA US",11/6/18,8.95,0.78,0,51
USW00014739,"BOSTON, MA US",11/7/18,12.75,0,0,59
USW00014739,"BOSTON, MA US",11/8/18,10.74,0,0,52
USW00014739,"BOSTON, MA US",11/9/18,14.76,1.1,0,46
USW00014739,"BOSTON, MA US",11/10/18,17,0.45,0,48
USW00014739,"BOSTON, MA US",11/11/18,13.2,0,0,40
USW00014739,"BOSTON, MA US",11/12/18,6.93,0,0,41
USW00014739,"BOSTON, MA US",11/13/18,13.87,1.1,0,48
USW00014739,"BOSTON, MA US",11/14/18,17,0,0,38
USW00014739,"BOSTON, MA US",11/15/18,9.84,0.46,0.1,27
USW00014739,"BOSTON, MA US",11/16/18,20.8,0.57,0,38
USW00014739,"BOSTON, MA US",11/17/18,12.75,0,0,42
USW00014739,"BOSTON, MA US",11/18/18,6.71,0,0,40
USW00014739,"BOSTON, MA US",11/19/18,5.59,0.17,0,39
USW00014739,"BOSTON, MA US",11/20/18,10.07,0.4,0,39
USW00014739,"BOSTON, MA US",11/21/18,15.88,0,0,37
USW00014739,"BOSTON, MA US",11/22/18,18.57,0,0,20
USW00014739,"BOSTON, MA US",11/23/18,12.3,0,0,21
